Name,Description,Alternate names,Roll-up dimensions,Category,Type,Phase,Persona,Sources,Data,Data-point Formula,Formulas,Example
"Issues from static analysis (total, new, grouped by Level)",,,,Quality,,,Management,,,,,
Total number of test cases,,,,Quality,Number,,Management,,,,,
Test cases per Feature,,,,Quality,Ratio,,Management,,,,,
"Defects found by test type (manual vs automated, integration vs unit)",,,,Quality,Number,,Management,,,,,
Defects found from previous Sprints,,,,Quality,Number,,Management,,,,,
Bugs per Feature,,Requirement Defect Density,,Quality,Number,,Management,,,,,
Bug Severity,,,,Quality,Number,,Management,,,,,
Planned test hours,,,,Quality,Number,,Management,,,,,
Actual test hours,,,,Quality,Number,,Management,,,,,
"Branch duration (moving average, peak)",,,,Quality,Time,,Team,,,,,
Older stale branch (days),,,,Quality,Time,,Team,,,,,
# Stale branches,,,,Quality,Number,,Team,,,,,
"Code churn (changed lines of code, per Commit, per PR)",,,,Quality,Number,,Team,,,,,
Broken builds,,,,Quality,Number,,Team,,,,,
Test environment availability,,,,Quality,,,Team,,,,,
# of Test case passed,,,,Quality,Number,,Team,,,,,
# of Test case failed,,,,Quality,Number,,Team,,,,,
# of Test case blocked,,,,Quality,Number,,Team,,,,,
# of Test case executed per Sprint,,,,Quality,Number / Time,,Team,,,,tests run / time,
Defects fixed in Sprint,,,,Quality,Number,,Team,,,,,
Defects / User Stories in Sprint,,,,Quality,Number,,Team,,,,,
Incomplete Defects / User Stories in Sprint,,,,Quality,,,Team,,,,,
Test Design Efficiency,,,,Quality,Number / Time,,,,,,test designed / time,
Test Review Efficiency,,,,Quality,Number / Time,,,,,,test reviewed / time,
Passed Test cases,,,,Quality,Percentage,,,,,,test passed/test executed,
Failed Test cases,,,,Quality,Percentage,,,,,,test failed/test executed,
Blocked Test cases,,,,Quality,Percentage,,,,,,test blocked/test executed,
# of Defects per Test Case,,,,Quality,Ratio,,,,,,defects / tests,
Defects found per manual testing hour,,,,Quality,Number / Time,,,,,,defects / testing hours,
# of Defects found,,,,Quality,Number,,,,,,,
# of Defects accepted,,,,Quality,Number,,,,,,,
# of Defects rejected,,,,Quality,Number,,,,,,,
# of Defects deferred,,,,Quality,Number,,,,,,,
# of Critical defects,,,,Quality,Number,,,,,,,
Fixed Defects,,,,Quality,Percentage,,,,,,defects fixed / defects reported,
Accepted Defects,,,,Quality,Percentage,,,,,,defects accepted as valid by team / defects reported,
Rejected Defects,,,,Quality,Percentage,,,,,,defects rejected as invalid by team / defects reported,
Deferred Defects,,,,Quality,Percentage,,,,,,defects deferred for future releases / defects reported,
Critical Defects,,,,Quality,Percentage,,,,,,critical defects / defects reported,
Testing Hours per Bug fixed,,,,Quality,Time,,,,,,,
Time to test a Pfix,,,,Quality,Time,,,,,,totale time between defect fix to retest for all defects / total number of defects,
Test Coverage,,,,Quality,,,,,,,,
# of Features released,,Change volume (per Release),,Speed,Number,,Exec,,,,,
"PR approval time (average, peak)",,,,Speed,Time,,Management,,,,,
# of User stories released,,Change volume (per Release),,Speed,Number,,Management,,,,,
# of Bug fixed,,Change volume (per Release),,Speed,Number,,Management,,,,,
# of Story Points released,,Change volume (per Release),,Speed,Number,,Management,,,,,
Development hours per Release,,,,Speed,Time,,Management,,,,,
Deployment duration,,,,Speed,Time,,Management,,,,,
Manual vs Automated Deployment ratio,,,,Speed,Ratio,,Management,,,,,
Epic Lead Time,,,,Speed,Time,,n/a,,,,,
% Code churn (changed lines of code) per Release,,Change volume (per Release),,Speed,Percentage,,Team,,,,,
# of PRs release,,Change volume (per Release),,Speed,Number,,Team,,,,,
% bytes changed per Release,,Change volume (per Release),,Speed,Percentage,,Team,,,,,
Deployment speed (Deployment duration / Total bytes),,,,Speed,,,Team,,,,,
Incidents per Release,,Defect escape rate,,Stability,Ratio,,Exec,,,,,
Detection Time (MTTD),,,,Stability,Time,,Exec,,,,,
# PFix per Release,,,,Stability,Ratio,,Exec,,,,,
Deployment rollback ratio,,,,Stability,Ratio,,Exec,,,,,
Infra Incidents per Release,,,,Stability,Ratio,,Exec,,,,,
Hours per Pfix implemented,,,,Stability,Time,,Exec,,,,,
Lead time per Pfix,,,,Stability,Time,,Exec,,,,,
Cost per Pfix,,,,Stability,Money,,Exec,,,,,
Application Performance (relative to baseline),,Response Time ,,Stability,,,Management,,,,,
"Application Infrastructure slack capacity (CPU, RAM, Disk, Network bandwidth)",,,,Stability,,,Management,,,,,
Cost per Bug fixed,,,,Stability,Money,,Management,,,,,
Hours per Bug fixed,,,,Stability,Time,,Management,,,,,
Build duration (by type),,,,,Time,,Management,,,,,
Worked hours to-date,,,,,,,Management,,,,,
Worked hours per Sprint,,,,,,,Management,,,,,
"Worked hours per Feature, User Story",,,,,,,Management,,,,,
Development cost to-date,,,,,,,Management,,,,,
Development cost per Sprint,,,,,,,Management,,,,,
Story Points per Feature,,,,,Number,,Management,,,,,
# Commits per PR,,,,,Number,,Team,,,,,
Merge conflicts frequency,,,,,Time,,Team,,,,,
Build Infrastructure availability,,,,,Percentage,,Team,,,,,
Builds per Commit,,,,,Ratio,,Team,,,,,
Builds per Sprint per User Story,,,,,,,Team,,,,,
Story Points to-date,,,,,Number,,Team,,,,,
Story Points per Sprint,,Velocity,,,,,Team,,,,,
Incomplete Story Points per Sprint,,,,,Number,,Team,,,,,
"Work in progress (per capita, by type)",,,,,Number,,Team,,,,,
Open Security Vulnerabilities (grouped by Level),,,,,,,,,,,,
Unplanned Work Rate,,,,,,,,,,,,
Flow Time,,,,,,,,,,,,
Work in Process,,,,,,,,,,,,
"Distribution of Effort (stories/bugs, points, by sprint)",,,,,,,,,,,,
Infrastructure Utilization,,,,,,,,,,,,
Bug/Defect Age,,,,,,,,,,,,
